Date,State,Confirmed,Predicted
2020/11/16,AK,580,-1
2020/11/17,AK,641,-1
2020/11/18,AK,545,-1
2020/11/19,AK,492,-1
2020/11/20,AK,457,-1
2020/11/21,AK,676,-1
2020/11/22,AK,550,-1
2020/11/23,AK,499,-1
2020/11/24,AK,580,-1
2020/11/25,AK,678,-1
2020/11/26,AK,554,-1
2020/11/27,AK,672,-1
2020/11/28,AK,667,-1
2020/11/29,AK,617,-1
2020/11/30,AK,511,-1
2020/12/1,AK,504,-1
2020/12/2,AK,703,-1
2020/12/3,AK,763,-1
2020/12/4,AK,761,-1
2020/12/5,AK,945,-1
2020/12/6,AK,764,-1
2020/12/7,AK,503,-1
2020/12/8,AK,573,-1
2020/12/9,AK,587,-1
2020/12/10,AK,636,-1
2020/12/11,AK,627,-1
2020/12/12,AK,520,-1
2020/12/13,AK,641,-1
2020/12/14,AK,429,-1
2020/12/15,AK,282,-1
2020/12/16,AK,611,-1
2020/12/17,AK,383,-1
2020/12/18,AK,493,-1
2020/12/19,AK,336,-1
2020/12/20,AK,181,-1
2020/12/21,AK,152,-1
2020/12/22,AK,440,-1
2020/12/23,AK,361,-1
2020/12/24,AK,274,-1
2020/12/25,AK,0,-1
2020/12/26,AK,371,-1
2020/12/27,AK,300,-1
2020/12/28,AK,127,-1
2020/12/29,AK,182,-1
2020/12/30,AK,385,-1
2020/12/31,AK,499,-1
2021/1/1,AK,0,-1
2021/1/2,AK,809,-1
2021/1/3,AK,297,-1
2021/1/4,AK,264,-1
2021/1/5,AK,192,-1
2021/1/6,AK,334,317
2021/1/7,AK,325,313
2021/1/8,AK,405,307
2021/1/9,AK,315,302
2021/1/10,AK,254,298
2021/1/11,AK,176,291
2021/1/12,AK,132,287
2021/1/13,AK,283,287
2021/1/14,AK,335,295
2021/1/15,AK,302,305
2021/1/16,AK,184,317
2021/1/17,AK,283,333
2021/1/18,AK,155,345
2021/1/19,AK,129,358
2021/1/20,AK,167,369
2021/1/21,AK,201,380
2021/1/22,AK,290,392
2021/1/23,AK,248,409
2021/1/24,AK,162,423
2021/1/25,AK,79,436
2021/1/26,AK,82,420
2020/2/1,AL,0,-1
2020/2/2,AL,0,-1
2020/2/3,AL,0,-1
2020/2/4,AL,0,-1
2020/2/5,AL,0,-1
2020/2/6,AL,0,-1
2020/2/7,AL,0,-1
2020/2/8,AL,0,-1
2020/2/9,AL,0,-1
2020/2/10,AL,0,-1
2020/2/11,AL,0,-1
2020/2/12,AL,0,-1
2020/2/13,AL,0,-1
